ID,환경-연령대,환경-성별,환경-날짜,환경-위치,환경-초미세먼지(PM2.5),환경-미세먼지(PM10),환경-오존(O₃),환경-이산화질소(NO₂),환경-일산화탄소(CO),환경-아황산가스(SO₂),환경-온도,환경-습도
4,30대,여성,2021-12-12,인천시 연수구,24.8㎍/㎥,39.2㎍/㎥,0.0083ppm,0.0273ppm,0.51ppm,0.0035ppm,3.9°C,65%
4,30대,여성,2023-03-01,광주시 북구,22.8㎍/㎥,44.7㎍/㎥,0.026ppm,0.0296ppm,0.43ppm,0.0031ppm,8°C,53%
7,60대,여성,2020-12-15,서울시 강서구,27.4㎍/㎥,41.1㎍/㎥,0.0129ppm,0.0058ppm,0.72ppm,0.0026ppm,-2.6°C,62%
8,40대,남성,2020-03-16,서울시 강서구,24.3㎍/㎥,45.3㎍/㎥,0.0266ppm,0.0319ppm,0.51ppm,0.0034ppm,6.7°C,43%
8,40대,남성,2020-07-12,서울시 서대문구,11㎍/㎥,22㎍/㎥,0.0319ppm,0.0054ppm,0.28ppm,0.004ppm,23.2°C,78%
9,20대,남성,2019-05-28,부산시 연제구,28.1㎍/㎥,52.6㎍/㎥,0.0441ppm,0.0317ppm,0.73ppm,0.0045ppm,19.6°C,49%
9,20대,남성,2019-11-14,서울시 양천구,20.4㎍/㎥,40.9㎍/㎥,0.0108ppm,0.0508ppm,0.39ppm,0.003ppm,5.8°C,55%
11,40대,남성,2019-12-24,부산시 영도구,27.6㎍/㎥,41.2㎍/㎥,0.0079ppm,0.034ppm,0.42ppm,0.0049ppm,0.4°C,61%
12,40대,남성,2020-01-09,부산시 중구,27.4㎍/㎥,42.1㎍/㎥,0.01ppm,0.0359ppm,0.63ppm,0.0041ppm,1.7°C,59%
12,40대,남성,2020-04-11,인천시 동구,23.8㎍/㎥,44.2㎍/㎥,0.0361ppm,0.0091ppm,0.47ppm,0.0038ppm,11.5°C,53%
13,20대,남성,2020-08-20,서울시 성북구,15.4㎍/㎥,23.9㎍/㎥,0.0203ppm,0.0023ppm,0.34ppm,0.0014ppm,26.9°C,83%
14,40대,남성,2020-04-16,광주시 북구,20.7㎍/㎥,45㎍/㎥,0.034ppm,0.0359ppm,0.34ppm,0.0024ppm,9.6°C,46%
14,40대,남성,2020-07-30,서울시 송파구,12.6㎍/㎥,20.9㎍/㎥,0.0322ppm,0.0078ppm,0.27ppm,0.0048ppm,23.4°C,83%
