ID,생활건강-연령대,생활건강-성별,생활건강-일일 평균 걸음수(걸음),생활건강-일일 평균 수면량(시간),생활건강-걸음수 측정 기간,생활건강-수면량 측정 기간,
1,50대,남성,8115,7.1,14개월,1개월,
2,70대,남성,11016,6.5,11개월,2개월,
2,70대,남성,7494,7.3,14개월,11개월,
3,40대,여성,6628,6.1,7개월,6개월,
4,30대,여성,3794,7.0,9개월,7개월,
5,70대,남성,9571,5.5,8개월,9개월,
6,40대,남성,7555,7.9,8개월,8개월,
7,60대,여성,7799,8.0,8개월,5개월,
7,60대,여성,8434,6.5,8개월,8개월,
7,60대,여성,6780,8.5,7개월,13개월,
8,40대,남성,8701,7.5,9개월,5개월,
11,40대,남성,7727,6.6,1개월,4개월,
14,40대,남성,5612,5.8,12개월,8개월,
14,40대,남성,7838,9.3,3개월,14개월,
15,30대,남성,7781,8.5,12개월,11개월,
15,30대,남성,10303,8.0,4개월,3개월,
16,30대,여성,4700,7.0,18개월,5개월,
16,30대,여성,4711,5.7,3개월,14개월,
16,30대,여성,4390,8.4,12개월,1개월,
16,30대,여성,6529,8.0,1개월,12개월,
18,70대,남성,7449,6.7,5개월,7개월,
20,50대,여성,6082,6.5,2개월,15개월,
20,50대,여성,7230,7.1,5개월,10개월,
20,50대,여성,7049,7.3,12개월,10개월,
22,30대,남성,6432,5.7,3개월,6개월,
24,40대,남성,8036,7.0,1개월,5개월,
24,40대,남성,8665,7.5,4개월,1개월,
24,40대,남성,7179,7.0,17개월,1개월,
27,70대,남성,9102,7.3,5개월,4개월,
28,70대,남성,9556,7.1,16개월,5개월,
28,70대,남성,7275,8.1,4개월,4개월,
30,70대,남성,8860,7.5,9개월,6개월,
33,50대,여성,6395,5.7,6개월,5개월,
33,50대,여성,8654,5.8,1개월,1개월,
34,30대,남성,6962,7.0,6개월,7개월,
34,30대,남성,7510,5.9,12개월,2개월,
37,70대,여성,8866,6.9,4개월,5개월,
38,20대,여성,4413,5.6,3개월,1개월,
41,60대,여성,7544,7.1,12개월,20개월,
43,70대,여성,6040,6.7,14개월,6개월,
47,10대,남성,8807,8.2,15개월,1개월,
48,10대,여성,7829,6.2,5개월,5개월,
49,70대,남성,7831,6.3,1개월,8개월,
49,70대,남성,9380,9.7,16개월,4개월,
50,20대,남성,7711,7.3,11개월,9개월,
50,20대,남성,7437,6.8,10개월,11개월,
51,70대,남성,8488,7.9,12개월,5개월,
52,30대,여성,5130,7.8,4개월,11개월,
52,30대,여성,5867,6.3,24개월,9개월,
53,40대,남성,8680,9.3,11개월,15개월,
53,40대,남성,9275,7.5,13개월,21개월,
53,40대,남성,7389,8.3,7개월,6개월,
54,40대,여성,4887,8.7,3개월,28개월,
54,40대,여성,6958,8.1,7개월,7개월,
55,40대,여성,5775,8.8,1개월,3개월,
55,40대,여성,6410,7.6,10개월,13개월,
55,40대,여성,6308,8.2,3개월,3개월,
56,60대,여성,7548,7.0,14개월,1개월,
56,60대,여성,8244,7.5,1개월,24개월,
56,60대,여성,8098,7.5,7개월,3개월,
58,50대,여성,7557,6.8,1개월,3개월,
63,30대,여성,5766,8.6,3개월,15개월,
66,50대,남성,8629,7.5,2개월,5개월,
66,50대,남성,7372,7.4,14개월,3개월,
67,30대,남성,6758,8.9,7개월,9개월,
68,60대,남성,7856,8.3,11개월,13개월,
71,60대,여성,8600,7.1,2개월,5개월,
71,60대,여성,8399,7.6,9개월,7개월,
71,60대,여성,6807,7.3,13개월,6개월,
72,40대,여성,5849,5.9,14개월,10개월,
73,30대,여성,5459,8.4,1개월,22개월,
73,30대,여성,5178,7.1,11개월,13개월,
73,30대,여성,4630,7.0,3개월,19개월,
74,70대,남성,9956,6.4,1개월,14개월,
74,70대,남성,10627,7.2,2개월,3개월,
75,70대,남성,10232,6.3,1개월,2개월,
76,80대 이상,여성,6579,7.3,4개월,12개월,
76,80대 이상,여성,6390,7.3,16개월,3개월,
77,50대,여성,6695,7.1,9개월,9개월,
78,40대,여성,7255,9.0,7개월,4개월,
81,60대,남성,9756,9.0,6개월,2개월,
81,60대,남성,7987,6.8,2개월,2개월,
81,60대,남성,10767,6.5,11개월,5개월,
85,60대,남성,9442,9.3,3개월,16개월,
86,50대,남성,8208,8.3,2개월,1개월,
87,70대,여성,7093,7.7,7개월,4개월,
